Brand,Price,Source
"Honor X9c 5G 6.7"" (12GB Jusqu'à 24Go /256GB - Snapdragon 6 Gen 1 - 108MP - 6600mAH/66W - Titanium Purple","187,200 FCFA",Jumia
"Renewed Vivo Y17 6,35"" 5000mAh 6 Go RAM + 128 Go ROM Double SIM 13MP Reconnaissance Faciale + Réinitialisation Empreinte Digitale Smartphone - Cyan","39,795 FCFA",Jumia
"Xiaomi Redmi 13C 4G LTE 256GB + 8GB, écran 6,74"", triple caméra 50 MP - blue/white/black","58,999 FCFA",Jumia
"Ulefone Armor X16  - Ecran en Fibre 6,56 pouce - Android 15 - 6+6/128 - Batterie 10360 mAh - 33W - Vision Nocturne - 64Mpx+25 Mpx - DualSim - Empreinte Digitale - NFC - GARANTIE 12 MOIS","121,000 FCFA",Jumia
"Honor X7c 6.7""- 256/8GB Jusqu'à 16Go  - 6000 MAh/35W - 108 MP- Vert","95,000 FCFA",Jumia
Tecno smarphone Pop10 64Gb3+3 2 sim,"58,900 FCFA",Jumia
"Corn CORN Coco 10 Ultra 4G BLACK //128GB- RAM 4+8 (12) Android 14, 6.8""HD +WATERDROP SCREEN 13MP Main Camera,8mp Front Camera 5000mAh Dual SIM. (coque+anti choc inclus) 12MOIS GARANTIE","45,000 FCFA",Jumia
"Tecno TECNO SPARK 30C - 6,6"" - 128GO ROM - (4+4)GO RAM - 2 Sim - 50 MP - 5000MAH- W","72,900 FCFA",Jumia
"Renewed Huawei Y9 -6.5"" 16Mpx-6GB+128GB ROM Double SIM-4000 MAh-Smartphone avec empreinte et reconnaissance faciale- Noir","37,702 FCFA",Jumia
"Samsung GALAXY A06 - 4G - 64GO ROM - 4GO RAM - 50MP - 6,7 "" - 2 SIM - 5000MAH - N","50,000 FCFA",Jumia
"Samsung  Galaxy A14 5G - 6.6"" - 6GB/128GB - 50Mpx - 2XSim - Black","85,000 FCFA",Jumia
Tecno POP 10C - 4G - 64GO ROM- (2+2)GO RAM -2 SIM - 13MP-5000MAH - B,"46,800 FCFA",Jumia
"Xiaomi REDMI NOTE 14 - 6,67"" - 256GO ROM - 8GO ROM - 108MP/20MP - 4G - 2 SIM - 5000MAH - V.","104,900 FCFA",Jumia
Samsung Smartphone Galaxy A16 4G (4Go RAM 128Go) 5000MAH 50MP,"82,650 FCFA",Jumia
Tecno smarphone Pop10 64Gb3+3 2 sim,"58,900 FCFA",Jumia
"Logicom LOGICOM SMART PRO - 6GB RAM 128Go - Android 14 - 6,74 Pouces - 50 Mpx - HD NOIR 12 mois de garantie","54,500 FCFA",Jumia
"Samsung Galaxy Note 10 Plus - 6.8"" - 256Go/12Go Ram - 12Mpx - Black - Garantie 3Mois","220,800 FCFA",Jumia
Xiaomi Smartphone Redmi A5 * 6.88 Pouces * ( 128GB -4GB RAM) -5200mAh - Double Camera - Noir,"55,100 FCFA",Jumia
Xiaomi Redmi A5 * 6.88 Pouces* (64GB-3GB RAM) - 5200mAh-32 Mpx Simple NOIR,"40,000 FCFA",Jumia
"redbeat D5 Smartphone, 6.52inch IPS HD , 6GB + 128GB ROM Blue","47,500 FCFA",Jumia
Samsung GALAXY A17 - 128Go - 4Go Ram - 5000MAH - Android 15 - GRAY,"108,600 FCFA",Jumia
Tecno smartphone  Spark 40 Pro+ Ecran6.78 pouce1220x2712px 128+8+8,"118,750 FCFA",Jumia
"Ulefone Armor X13 - 4G - 6+6Go/64Go - 6320 MAh - 50Mp+24Mp - 6.52"" FHD water deep vision nocturne - Noir - 12 Mois De Garantie","94,500 FCFA",Jumia
"Infinix Smartphone Hot 50i - 4G - 6,7"" - 2 SIM - 128Go - (4+4)Go - 48Mpx - 5000 MAh","61,750 FCFA",Jumia
"Renewed HUAWEI P Smart+ 2019, 99.9% NEUF, 4 Go RAM + 128 Go ROM, batterie 4000mAh, double SIM, écran 6.5 pouces, caméra HD 12MP, déverrouillage facial + empreinte digitale","39,839 FCFA",Jumia
"Samsung Galaxy A26 - 6.7"" - 5G RAM 6Go - ROM 128Go - Caméra 50+8+2MP - 5000mAh - Orange","127,950 FCFA",Jumia
"Itel Smartphone A90, écran LCD IPS 6,6"", 5000 MAh, 128+3 Go, Double Sim - Blanc Glacier","46,000 FCFA",Jumia
"Ulefone Amor X31 Pro 5G - Écran En Fibre - 8+8Go/256Go - 64Mp+25Mp - Vision Nocturne - Androïd 14 - 6.56"" - 120Hz - 6050 mAh - DualSim/NFC - 12 Mois de Garantie","149,500 FCFA",Jumia
Tecno Camon 40 Pro- 4G - (8+8)Go/256Go – 50MP/50MP+8MP – N,"145,800 FCFA",Jumia
"Tecno Smarphone POP 8 - 6.6"" - 2 SIM - 4G LTE - 64Go ROM - (2+2)Go RAM - 8Mpx - 13Mpx - 5000 MAh - BLANC","58,900 FCFA",Jumia
"Samsung Galaxy A35 - 5G - 8/256Go - 6.6"" - 50 Mpx - Navy","179,800 FCFA",Jumia
"Xiaomi Redmi Note 13 Pro+ 5G - 8/256Go - 6,67"" - 200 Mpx- VIOLET","169,800 FCFA",Jumia
"Itel A80- 6,7"" HD+ 128+(3+5)Go -13MP-5000mAh-4G-Noir","44,500 FCFA",Jumia
Xiaomi Smartphone  Redmi 14C 256+8+8,"90,250 FCFA",Jumia
"Itel A80- 6,7"" HD+ 128+(3+5)Go -13MP-5000mAh-4G-bleu","44,700 FCFA",Jumia
Tecno smartphone Spark 40 Pro Memoire 128 Go Ram 8 Go 6.78pouce,"109,250 FCFA",Jumia
"Xiaomi Redmi Note 13 Pro+ 5G - 8/256Go - 6,67"" - 200 Mpx- NOIR","169,000 FCFA",Jumia
Itel A06 (2+2) Ram / 32 GB Rom - 8Mpx - 4000Mah- Bleu,"33,900 FCFA",Jumia
Tecno POP 10C - 4G - 64GO ROM- (2+2)GO RAM -2 SIM - 13MP-5000MAH - N,"46,850 FCFA",Jumia
"Xiaomi Redmi A3 Pro - 6.88"" - 2 SIM - 4G - 4Go RAM + 128Go ROM - 13Mpx/50Mpx -","57,500 FCFA",Jumia
"Honor X7c 6.7""- 256/8GB Jusqu'à 16Go - 6000 MAh/35W - 108 MP- Blanc","100,000 FCFA",Jumia
Samsung Galaxy Note 9 - 2×Sim - 6.4 Pouces - 128Go/6Go Ram - Pulpe - Garantie 3Mois,"145,900 FCFA",Jumia
"Honor  X9c Smart - 6.8"" 12GB/256GB - 108MP - 5800mAH - Noir","144,700 FCFA",Jumia
"Itel A80 6.7"" 3+5GB RAM/128GB ROM 5000mAh 50MP 4G Android 14- Blanc","46,000 FCFA",Jumia
"Honor X9c Smart - 6.8"" 12GB/256GB - 108MP - 5800mAH - Ocean Cyan","143,900 FCFA",Jumia
"Honor X9c 5G 6.7"" (12GB Jusqu'à 24Go /256GB - Snapdragon 6 Gen 1 - 108MP - 6600mAH/66W - Jade Cyan","189,000 FCFA",Jumia
"Xiaomi REDMI A3 X - 6.71""- 128GO ROM - 4GO RAM - 2SIM - 4G - 5/8 MP - 5000MAH - N","58,500 FCFA",Jumia
Itel Smartphone  City 100,"55,100 FCFA",Jumia
Infinix HOT 50 PRO PLUS - 6.78 Pouces - 128GB Avec 8GB De RAM- 50MP - 6000mAH,"128,000 FCFA",Jumia
"Xiaomi Redmi Note 12 Pro-6.67"" Amoled - 8/128 Go-108Mpx-Bleu","119,000 FCFA",Jumia
"Itel Smartphone  S25 Ultra (256 Go, 8 Go)","118,750 FCFA",Jumia
"Samsung Galaxy A06 - 4G - 2 SIM - 6.7"" - 4/128Go - 50Mpx - 5000 MAh - Blue Light","61,300 FCFA",Jumia
"Samsung Galaxy S24 Ultra -6.8""-12/256 Go 5G - Gray","699,800 FCFA",Jumia
"Itel A18 - 5"" - 3G - Rom 32Go - Ram 1Go -bleu","29,400 FCFA",Jumia
Tecno Pop 10 C 64gb,"49,500 FCFA",Jumia
Xiaomi REDMI 15C - 6.9 Pouces - 128GO ROM - (4+4)GO RAM - 2 SIM - 4G - 13MP/50MP - 6000MAH -Noir,"61,900 FCFA",Jumia
"Xiaomi Redmi Pad 2 4G - 4 Go + 128 Go -9000mAh-11.0"" - Gris Graphite","115,000 FCFA",Jumia
"Xiaomi Redmi NOTE 14 - 6.67""- 2 SIM - 4G - 256GO ROM - 8GO RAM - 16MP/108MP + 8MP+ 2MP - 5000 MAH - Noir","101,000 FCFA",Jumia
"Itel A18 - 5"" - 3G - Rom 32Go - Ram 1Go - 5Mpx- Bleu","29,450 FCFA",Jumia
Tecno pop 10 128gb,"61,750 FCFA",Jumia
Xiaomi Redmi A3X  - 2SIM - 4G - 5/8 Mpx - 3/64 Go - Noir,"44,000 FCFA",Jumia
Samsung Galaxy A56 5G (8 Go RAM / 256Go,"199,900 FCFA",Jumia
"Huawei Pura 70 Mobile Phone 6.6"" 12GB+1TB 50","580,000 FCFA",Jumia
"Itel A20 - 5"" - 3G - Rom 32Go - Ram (2+2)Go - 2400mAh - 5Mpx","29,000 FCFA",Jumia
"Samsung Galaxy A55 - 2Sim -6.6""- 8/256 Go - 50 Mpx - Navy - 24 Mois De Garantie","225,800 FCFA",Jumia
"Itel A80 6.7"" 3+5GB RAM/128GB ROM 5000mAh 50MP 4G Android 14- Bleu","46,800 FCFA",Jumia
"Samsung Galaxy A56 - 6.7"" - 5G RAM 12Go - ROM 256Go - Caméra 50+12+5MP - 5000mAh","252,000 FCFA",Jumia
"Xiaomi REDMI NOTE 14 - 6,67"" - 256GO ROM - 8GO ROM - 108MP/20MP - 4G - 2 SIM - 5000MAH - BLEU","104,900 FCFA",Jumia
"Xiaomi Redmi Pad Pro 5G - 12.1""- 8 Go + 256 Go - Gris Graphite","205,000 FCFA",Jumia
Infinix Smart 8 - 64Go + 3Go - 13 MP -2 SIM - 5000 MAh - Noir - 12 Mois Garantie,"53,500 FCFA",Jumia
Samsung smartphone Galaxy A17 5G : 128+6,"128,550 FCFA",Jumia
"Itel A80- 6,7"" HD+ 128+(3+5)Go -13MP-5000mAh-4G-blanc","44,000 FCFA",Jumia
"Renewed Smartphone Oppo A83 3 Go Ram + 32 Go - 4G Lte Double Carte - Écran Compact De 5,7 Pouces - Déverrouillage Par Reconnaissance Faciale (Bleu)","35,000 FCFA",Jumia
Tecno Pop9 64gb,"52,250 FCFA",Jumia
"Xiaomi REDMI A5 - 6.88"" - 64GO ROM - 3GO RAM - 2 SIM - 4G - 32MP - 5200 MAH - O","44,000 FCFA",Jumia
"Samsung  Galaxy A26 - 6.7"" - 5G RAM 6/128Go - Caméra 50+8+2MP - 5000mAh - Vert- Garantie 24 Mois","135,900 FCFA",Jumia
Xiaomi Redmi A3 Pro – 128 Go – RAM 4 Go –13Mpx/50Mpx2 SIM,"57,800 FCFA",Jumia
Tecno Camon 40 Pro 256gb 8+8 Ram,"171,000 FCFA",Jumia
"Itel A18 - 5"" - 3G - Rom 32Go - Ram 1Go - 5Mpx - Bleu","29,500 FCFA",Jumia
"Ulefone Armor X12 Pro 4G - Ecran En Fibre - FHD 5.45"" - Android 14 - 8Go/64Go - Batterie 4860 mAh - Octa-Core - 13MP+8MP - DualSIM - GPS/NFC/Face ID/FM/OTG - Noir","80,000 FCFA",Jumia
"Tecno Camon 40 - 6.78""- 4G - 2 SIM - (8+8)Go RAM  - 256Go ROM – 32MP/50MP+8MP - 5200 MAh – Noir","131,000 FCFA",Jumia
Xiaomi Redmi A5 * 6.88 Pouces * ( 128GB -4GB RAM) -5200mAh - Double Camera - Noir,"46,800 FCFA",Jumia
Samsung Smartphone Galaxy A16 4G 6.7 Pouces ( 256GB-8GB RAM) Gris-5000mAh-50mpx Triple,"118,750 FCFA",Jumia
"Tecno CAMON 20 Premier 5G -6.68""12ram+ 512Go","241,200 FCFA",Jumia
"Tecno CAMON 40 - 6.78""- 256GO ROM - (8+8)GO RAM - 4G - 2 SIM – 32MP/50MP+8MP - 5200MAH","133,000 FCFA",Jumia
Huawei MATE 50 PRO - 256GB - 8RAM - 6.74 POUCES - SILVER - 2xSIM,"429,800 FCFA",Jumia
Tecno Pop 10C 64Go,"49,400 FCFA",Jumia
"Xiaomi REDMI NOTE  14 - 6,67"" - 256GO ROM - 8GO ROM - 108MP/20MP - 4G - 2 SIM - 5000MAH - B","110,000 FCFA",Jumia
"Xiaomi SMARTPHONE REDMI NOTE 13 - 6.67""- 256GO ROM- 8GO RAM - 108MP + 8MP+ 2MP/16MP - 4G - 2 SIM - 5000 MAH - N","137,750 FCFA",Jumia
Itel Smartphone  City 100,"55,100 FCFA",Jumia
"Itel A80 6.7"" 3+5GB RAM/128GB ROM 5000mAh 50MP 4G Android 14- Noir","46,000 FCFA",Jumia
Itel Connexion A20 - 5 Pouces - 32Gb/2+2GB De RAM - 2400mAh - Android 14 - 5MP,"29,000 FCFA",Jumia
Huawei Pura 70 12GB RAM / 256GB,"550,000 FCFA",Jumia
"Xiaomi REDMI A3 X - 6.71""- 64GO ROM - 3GO RAM - 2SIM - 4G - 5/8 MP - 5000MAH - N","50,200 FCFA",Jumia
Samsung Galaxy Tab A9 - 4G - 4GB RAM / 64GB - 8.7 Pouces -1xSim - 5100mAh - Silver,"73,600 FCFA",Jumia
HAINOTEKO Montre connectée FG2 5G,"40,500 FCFA",Jumia
"Xiaomi Smartphone REDMI NOTE 13 - 6.67""- 128GO ROM- 6GO RAM - 108MP + 8MP+ 2MP/16MP - 4G - 2 SIM - 5000 MAH - N","123,500 FCFA",Jumia
"Xiaomi REDMI NOTE 14 - 6,67"" - 256GO ROM - 8GO ROM - 108MP/20MP - 4G - 2 SIM - 5000MAH - Vert","100,000 FCFA",Jumia
Tecno Pop 10C 64gb,"49,500 FCFA",Jumia
Xiaomi REDMI 15C 256+8 Go,"80,100 FCFA",Jumia
Samsung Galaxy A24 -6.5 Pouces -4G - 4Ram -128Go,"142,200 FCFA",Jumia
"Honor X5b - 6.7"" - 4/64Go - 13Mpx -5200 MAh- Bleu","50,800 FCFA",Jumia
Tecno Spark 40 Pro+ 128+8+8  6.78pouce,"114,000 FCFA",Jumia
"Xiaomi Redmi Pad SE- 8,7"" - 2 SIM - 4G - 4Go RAM + 64Go ROM - 5Mpx/8Mpx - 6650 MAh","88,000 FCFA",Jumia
